ID,Group,SelfMorality,SelfAbility,SelfSociability,SelfSolvingPuzzles,SelfTeamCollab,Enjoyment,Enjoyment_GroupSpecificity,Difficulty,Difficulty_GroupSpecificity,Difficulty_Mastermind,Enjoyment_Mastermind,TeamCollab_Mastermind,SkillComp_Mastermind,SelfParticipation_Mastermind,PerceivedSolveTime_Mastermind,Difficulty_ColoredLetters,Enjoyment_ColoredLetters,TeamCollab_ColoredLetters,SkillComp_ColoredLetters,SelfParticipation_ColoredLetters,PerceivedSolveTime_ColoredLetters,Difficulty_Cables,Enjoyment_Cables,TeamCollab_Cables,SkillComp_Cables,SelfParticipation_Cables,PerceivedSolveTime_Cables,Difficulty_FlyerCipher,Enjoyment_FlyerCipher,TeamCollab_FlyerCipher,SkillComp_FlyerCipher,SelfParticipation_FlyerCipher,PerceivedSolveTime_FlyerCipher,Difficulty_Myspace,Enjoyment_Myspace,TeamCollab_Myspace,SkillComp_Myspace,SelfParticipation_Myspace,PerceivedSolveTime_Myspace,Difficulty_Maze,Enjoyment_Maze,TeamCollab_Maze,SkillComp_Maze,SelfParticipation_Maze,PerceivedSolveTime_Maze,Teammate,Morality,Ability,Sociability,Like,Closeness,Similar,GoodNews,BadNews,LikeMeta,ClosenessMeta,SimilarMeta,SolvingPuzzles,TeamCollab,Leader,Influence,GameLeader,LeastParticipation,Camaraderie,MostImportant_Mastermind,LeastImportant_Mastermind,MostImportant_ColoredLetters,LeastImportant_ColoredLetters,MostImportant_Cables,LeastImportant_Cables,MostImportant_FlyerCipher,LeastImportant_FlyerCipher,MostImportant_Myspace,LeastImportant_Myspace,MostImportant_Maze,LeastImportant_Maze
03E,3,9.0,6.75,9.0,9,9,10,10,8,8,10,6,10,4,7,,3,10,9,3,10,,3,10,5,3,10,,7,10,10,3,10,,5,7,10,3,7,,6,10,9,2,10,,03D,9.75,6.0,8.5,10,10,8,10,10,10,10,8,5,5,03E,03E,03E,03C,03A,03E,03C,03E,03D,03E,03C,03D,03C,03B,03D,03E,03D
03E,3,9.0,6.75,9.0,9,9,10,10,8,8,10,6,10,4,7,,3,10,9,3,10,,3,10,5,3,10,,7,10,10,3,10,,5,7,10,3,7,,6,10,9,2,10,,03C,8.5,7.25,8.0,10,10,10,10,10,10,10,9,6,5,03E,03E,03E,03C,03A,03E,03C,03E,03D,03E,03C,03D,03C,03B,03D,03E,03D
03E,3,9.0,6.75,9.0,9,9,10,10,8,8,10,6,10,4,7,,3,10,9,3,10,,3,10,5,3,10,,7,10,10,3,10,,5,7,10,3,7,,6,10,9,2,10,,03A,9.75,9.0,9.5,10,10,7,10,5,8,8,7,8,8,03E,03E,03E,03C,03A,03E,03C,03E,03D,03E,03C,03D,03C,03B,03D,03E,03D
03E,3,9.0,6.75,9.0,9,9,10,10,8,8,10,6,10,4,7,,3,10,9,3,10,,3,10,5,3,10,,7,10,10,3,10,,5,7,10,3,7,,6,10,9,2,10,,03B,7.75,8.5,9.25,10,10,7,10,5,9,9,6,8,9,03E,03E,03E,03C,03A,03E,03C,03E,03D,03E,03C,03D,03C,03B,03D,03E,03D
03A,3,10.0,8.0,10.0,6,8,10,5,6,5,8,10,10,4,8,,9,9,7,1,0,,3,10,10,2,8,,8,10,10,4,8,,8,10,8,2,7,,10,3,6,4,2,,03C,10.0,8.0,10.0,10,10,9,10,10,10,10,10,3,6,03E,03E,03E,03C,03B,03E,03C,03E,03A,03A,03C,03E,03C,03E,03C,03E,03A
03A,3,10.0,8.0,10.0,6,8,10,5,6,5,8,10,10,4,8,,9,9,7,1,0,,3,10,10,2,8,,8,10,10,4,8,,8,10,8,2,7,,10,3,6,4,2,,03B,10.0,9.75,10.0,10,,10,10,9,10,10,10,8,10,03E,03E,03E,03C,03B,03E,03C,03E,03A,03A,03C,03E,03C,03E,03C,03E,03A
03A,3,10.0,8.0,10.0,6,8,10,5,6,5,8,10,10,4,8,,9,9,7,1,0,,3,10,10,2,8,,8,10,10,4,8,,8,10,8,2,7,,10,3,6,4,2,,03E,10.0,9.25,10.0,10,8,3,3,3,10,8,0,10,10,03E,03E,03E,03C,03B,03E,03C,03E,03A,03A,03C,03E,03C,03E,03C,03E,03A
03A,3,10.0,8.0,10.0,6,8,10,5,6,5,8,10,10,4,8,,9,9,7,1,0,,3,10,10,2,8,,8,10,10,4,8,,8,10,8,2,7,,10,3,6,4,2,,03D,10.0,8.25,10.0,10,7,0,0,0,10,8,0,7,7,03E,03E,03E,03C,03B,03E,03C,03E,03A,03A,03C,03E,03C,03E,03C,03E,03A
03B,3,10.0,10.0,10.0,10,10,10,5,10,1,8,8,10,3,7,,6,7,8,2,5,,10,1,10,3,0,,7,9,9,3,8,,4,7,9,3,6,,7,8,9,3,9,,03A,10.0,10.0,10.0,10,10,10,10,10,10,10,10,10,10,03A,03A,03E,03C,03A,03E,03C,03E,03C,03E,03C,03B,03C,03D,03B,03E,03C
03B,3,10.0,10.0,10.0,10,10,10,5,10,1,8,8,10,3,7,,6,7,8,2,5,,10,1,10,3,0,,7,9,9,3,8,,4,7,9,3,6,,7,8,9,3,9,,03C,10.0,10.0,10.0,10,10,10,10,10,10,10,10,10,10,03A,03A,03E,03C,03A,03E,03C,03E,03C,03E,03C,03B,03C,03D,03B,03E,03C
