ID,Age,Gender,Race,Group,SelfMorality,SelfAbility,SelfSociability,SelfSolvingPuzzlesPred,SelfTeamCollabPred,Teammate,Morality,Ability,Sociability,FirstMeet,Interact,Like,Closeness,Similar,GoodNews,BadNews,LikeMeta,ClosenessMeta,SimilarMeta,SolvingPuzzlesPred,TeamCollabPred,Longest,Frequently,Leader,Influence
03E,25,1,5,3,8.75,6.0,6.75,5,6,03A,8.5,9.25,9.5,6,4,10,9,7,8,7,9,8,5,7,7,03C,03C,03A,03A
03E,25,1,5,3,8.75,6.0,6.75,5,6,03B,8.5,9.0,8.5,6,3,10,10,8,10,9,10,10,8,7,7,03C,03C,03A,03A
03E,25,1,5,3,8.75,6.0,6.75,5,6,03D,10.0,8.0,8.75,6,1,10,10,8,10,10,10,10,7,7,7,03C,03C,03A,03A
03E,25,1,5,3,8.75,6.0,6.75,5,6,03C,8.75,8.25,8.0,6,1,10,10,9,10,10,10,10,8,7,7,03C,03C,03A,03A
03C,66,2,5,3,10.0,6.5,9.0,5,9,03A,9.0,8.75,8.25,6,1,10,10,8,10,10,9,9,7,7,8,03D,03D,03A,03A
03C,66,2,5,3,10.0,6.5,9.0,5,9,03B,9.25,8.5,9.0,6,4,9,8,7,8,6,9,7,6,7,7,03D,03D,03A,03A
03C,66,2,5,3,10.0,6.5,9.0,5,9,03D,8.25,6.0,8.0,6,1,10,10,,10,10,10,10,6,7,7,03D,03D,03A,03A
03C,66,2,5,3,10.0,6.5,9.0,5,9,03E,9.25,6.5,9.5,6,1,10,10,8,10,10,10,10,8,6,8,03D,03D,03A,03A
03A,65,2,5,3,10.0,9.0,10.0,7,9,03B,10.0,9.25,10.0,6,1,10,10,8,10,10,10,10,10,8,10,03B,03B,03D,03B
03A,65,2,5,3,10.0,9.0,10.0,7,9,03C,10.0,9.25,10.0,6,2,10,10,10,10,10,10,10,10,6,10,03B,03B,03D,03B
03A,65,2,5,3,10.0,9.0,10.0,7,9,03D,10.0,8.75,10.0,6,3,10,6,6,5,5,10,5,5,8,9,03B,03B,03D,03B
03A,65,2,5,3,10.0,9.0,10.0,7,9,03E,10.0,7.0,9.5,6,5,10,,0,0,0,10,8,0,9,10,03B,03B,03D,03B
02C,21,2,3,2,10.0,8.25,8.75,7,7,02D,8.25,6.0,7.0,4,1,10,10,9,10,10,10,10,9,7,7,02B,02E,02B,02C
02C,21,2,3,2,10.0,8.25,8.75,7,7,02E,8.75,4.75,9.25,4,1,10,10,2,10,10,10,10,2,7,9,02B,02E,02B,02C
02C,21,2,3,2,10.0,8.25,8.75,7,7,02A,9.25,6.0,9.0,4,2,10,7,4,7,8,10,7,3,9,8,02B,02E,02B,02C
02C,21,2,3,2,10.0,8.25,8.75,7,7,02B,9.75,8.0,6.5,4,1,10,10,2,10,10,10,10,2,9,7,02B,02E,02B,02C
02A,20,2,5,2,8.75,7.5,7.75,6,8,02B,8.0,8.25,7.25,4,1,10,10,9,10,10,10,10,7,10,7,02B,02B,02B,02B
02A,20,2,5,2,8.75,7.5,7.75,6,8,02C,9.75,8.25,8.0,4,1,8,6,6,6,7,7,7,5,6,7,02B,02B,02B,02B
02A,20,2,5,2,8.75,7.5,7.75,6,8,02D,9.0,5.5,7.0,4,2,6,5,2,4,5,6,5,3,6,7,02B,02B,02B,02B
02A,20,2,5,2,8.75,7.5,7.75,6,8,02E,8.0,6.75,8.0,3,2,6,4,7,6,3,5,4,6,6,10,02B,02B,02B,02B
02B,20,2,4,2,8.0,8.5,7.25,8,10,02A,9.25,7.0,6.75,4,1,10,10,7,10,10,10,10,8,7,7,02D,02A,02B,02B
02B,20,2,4,2,8.0,8.5,7.25,8,10,02C,9.25,7.0,8.0,4,1,10,8,7,9,7,9,8,7,8,7,02D,02A,02B,02B
02B,20,2,4,2,8.0,8.5,7.25,8,10,02D,8.75,6.25,7.75,5,2,9,9,3,9,7,8,8,3,5,6,02D,02A,02B,02B
02B,20,2,4,2,8.0,8.5,7.25,8,10,02E,8.5,7.75,9.0,4,2,10,6,3,7,5,8,5,3,9,7,02D,02A,02B,02B
03B,25,2,5,3,10.0,9.5,10.0,8,10,03A,10.0,10.0,10.0,6,1,10,10,10,10,10,10,10,10,10,10,03A,03A,03D,03A
03B,25,2,5,3,10.0,9.5,10.0,8,10,03C,10.0,10.0,10.0,6,2,10,10,10,10,10,10,10,10,10,10,03A,03A,03D,03A
03B,25,2,5,3,10.0,9.5,10.0,8,10,03E,10.0,10.0,10.0,6,2,10,10,10,10,10,10,10,10,10,10,03A,03A,03D,03A
03B,25,2,5,3,10.0,9.5,10.0,8,10,03D,10.0,10.0,10.0,6,3,10,10,10,10,10,10,10,10,10,10,03A,03A,03D,03A
02D,20,2,5,2,10.0,8.0,10.0,3,6,02A,10.0,9.5,10.0,3,3,7,6,3,3,3,6,4,6,10,8,02B,02C,02C,02C
02D,20,2,5,2,10.0,8.0,10.0,3,6,02B,10.0,10.0,9.75,4,1,10,9,6,10,10,10,8,9,10,10,02B,02C,02C,02C
02D,20,2,5,2,10.0,8.0,10.0,3,6,02C,10.0,9.5,10.0,4,1,10,10,10,10,10,10,10,10,7,6,02B,02C,02C,02C
02D,20,2,5,2,10.0,8.0,10.0,3,6,02E,10.0,7.75,10.0,3,3,8,6,3,3,3,4,3,3,10,10,02B,02C,02C,02C
03D,65,1,5,3,9.25,7.5,8.75,7,9,03C,8.75,7.75,8.75,6,1,10,10,8,10,10,10,10,10,7,7,03C,03C,03D,03D
03D,65,1,5,3,9.25,7.5,8.75,7,9,03E,9.0,7.0,10.0,6,1,10,10,9,10,10,10,10,10,9,9,03C,03C,03D,03D
03D,65,1,5,3,9.25,7.5,8.75,7,9,03B,6.0,7.25,8.0,6,5,8,7,6,4,4,7,7,7,6,7,03C,03C,03D,03D
03D,65,1,5,3,9.25,7.5,8.75,7,9,03A,8.0,7.25,8.0,6,3,8,8,7,,,8,8,8,7,7,03C,03C,03D,03D
06E,27,1,5,6,9.0,8.25,6.0,6,6,06A,9.25,8.75,9.5,4,6,10,10,9,10,10,10,10,9,10,10,06C,06D,06A,06D
06E,27,1,5,6,9.0,8.25,6.0,6,6,06B,10.0,10.0,9.75,4,6,10,10,10,10,10,10,10,10,10,10,06C,06D,06A,06D
06E,27,1,5,6,9.0,8.25,6.0,6,6,06C,9.75,10.0,10.0,4,4,10,10,9,10,9,10,10,9,9,9,06C,06D,06A,06D
06E,27,1,5,6,9.0,8.25,6.0,6,6,06D,3.0,2.5,0.0,4,1,10,10,10,10,10,10,10,10,10,10,06C,06D,06A,06D
06A,24,2,2,6,7.75,6.75,7.0,6,8,06B,6.75,6.25,5.25,4,1,7,7,,9,9,8,7,5,7,7,06B,06B,06A,06A
06A,24,2,2,6,7.75,6.75,7.0,6,8,06C,7.0,6.0,6.5,4,3,6,6,6,6,3,6,6,6,8,8,06B,06B,06A,06A
06A,24,2,2,6,7.75,6.75,7.0,6,8,06D,6.75,5.75,7.75,4,1,8,8,6,8,8,8,8,6,6,8,06B,06B,06A,06A
06A,24,2,2,6,7.75,6.75,7.0,6,8,06E,6.75,6.5,6.5,4,5,6,4,7,6,3,6,4,7,8,8,06B,06B,06A,06A
06C,24,1,5,6,9.5,5.75,6.5,2,4,06B,7.5,8.5,6.25,4,1,10,10,5,10,10,10,10,5,6,4,06E,06B,06A,06D
06C,24,1,5,6,9.5,5.75,6.5,2,4,06E,9.5,6.5,8.5,5,4,8,5,8,7,5,8,5,7,7,8,06E,06B,06A,06D
06C,24,1,5,6,9.5,5.75,6.5,2,4,06A,9.5,8.0,6.25,4,3,6,4,3,3,3,5,3,3,5,5,06E,06B,06A,06D
06C,24,1,5,6,9.5,5.75,6.5,2,4,06D,9.5,8.75,9.0,4,4,6,4,2,2,2,5,2,2,5,9,06E,06B,06A,06D
05D,23,2,5,5,9.25,8.0,8.5,8,8,05A,8.75,10.0,7.0,5,3,10,7,7,6,6,8,8,8,10,7,05E,05B,05A,05B
05D,23,2,5,5,9.25,8.0,8.5,8,8,05B,10.0,9.25,8.0,5,2,10,10,9,10,10,10,10,10,10,10,05E,05B,05A,05B
05D,23,2,5,5,9.25,8.0,8.5,8,8,05C,8.75,9.0,8.25,6,4,8,8,6,5,5,7,6,5,8,8,05E,05B,05A,05B
05D,23,2,5,5,9.25,8.0,8.5,8,8,05E,9.0,7.0,8.0,6,3,7,7,6,5,5,7,7,8,7,8,05E,05B,05A,05B
05A,23,2,5,5,9.0,7.75,7.5,8,6,05B,4.0,9.0,3.0,5,3,4,6,6,8,3,7,6,6,8,6,05E,05E,05A,05B
