Time,Total length,Event,Subject,Group,Puzzle,StartEnd,SubjAssign
55.653999999999996,3420.0,Screen sharing begins,03B,3,,,1.0
72.275,3420.0,Opening phase 1*,None,3,resist,start,0.0
105.025,3420.0,Mentioning redwarren.com,03B,3,resist,,1.0
121.774,3420.0,"See ""RESIST""*",None,3,resist,,0.0
172.771,3420.0,Open phase 2*,None,3,chase,start,0.0
235.03099999999998,3420.0,Go to redwarren.com/resist*,03D,3,resist,end,0.0
239.53099999999998,3420.0,Mentioning redwarren.com/resist,03D,3,resist,,1.0
299.031,3420.0,Seeing colors website*,None,3,colors,start,0.0
654.613,3420.0,Figure out purple position,03D,3,colors,,1.0
719.865,3420.0,Figure out blue position,03E,3,colors,,1.0
939.385,3420.0,Figure out green position,03D,3,colors,,1.0
1071.631,3420.0,Figure out yellow position,03B,3,colors,,1.0
1072.634,3420.0,Figure out red position,03B,3,colors,,1.0
1073.635,3420.0,Get to color solution page*,None,3,colors,end,0.0
1197.13,3420.0,Figure out the word is CHASE*,03D,3,chase,,0.0
1226.135,3420.0,Go to redwarren.com/chase*,None,3,chase,end,0.0
1230.635,3420.0,Mention inputting chase into URL,03D,3,chase,,1.0
1333.0339999999999,3420.0,Open phase 3*,None,3,cables,start,0.0
1373.295,3420.0,Figure out how to decode DIVERTS,03A,3,cables,,1.0
1402.045,3420.0,Cables: Decode D,03E,3,cables,,1.0
1430.543,3420.0,Cables: Decode I,03D,3,cables,,1.0
1456.793,3420.0,Cables: Decode V,03D,3,cables,,1.0
1473.293,3420.0,Cables: Decode E,03D,3,cables,,1.0
1487.043,3420.0,Cables: Decode R,03D,3,cables,,1.0
1501.545,3420.0,Cables: Decode T,03D,3,cables,,1.0
1504.295,3420.0,Cables: Decode S,03D,3,cables,,1.0
1506.7939999999999,3420.0,Fully solved cable password*,None,3,cables,,0.0
1541.0439999999999,3420.0,First bring up the onedrive password box*,None,3,cables,,0.0
1553.545,3420.0,Mention input consume as onedrive password,03A,3,cables,,1.0
1569.795,3420.0,Input consume as onedrive password*,None,3,cables,end,0.0
1574.295,3420.0,Open phase 4 picture*,None,3,flyer,start,0.0
1626.543,3420.0,Open flyer*,None,3,flyer,,0.0
1629.543,3420.0,Mention firestoneheavy.com,03A,3,flyer,,1.0
1685.045,3420.0,Open firestoneheavy.com*,None,3,myspace,start,0.0
1710.293,3420.0,Find Hughey Neube's name,03A,3,myspace,,1.0
1725.2939999999999,3420.0,Mention Hughey Neube's Myspace,03E,3,myspace,,1.0
1740.295,3420.0,Open admin portal page*,None,3,,,0.0
1744.793,3420.0,Open Hughey Neube's Myspace*,None,3,myspace,,0.0
1826.0439999999999,3420.0,Find missing corner of flyer*,None,3,myspace,,0.0
1903.545,3420.0,Find pictures of Crumpet*,None,3,myspace,,0.0
1952.0410000000002,3420.0,Find Employee ID photo*,None,3,myspace,,0.0
2279.176,3420.0,Mention association between corner letters and flyer icons,03C,3,flyer,,1.0
2407.465,3420.0,Flyer: Decode E,03D,3,flyer,,1.0
2412.465,3420.0,Flyer: Decode M,03D,3,flyer,,1.0
2427.964,3420.0,Flyer: Decode I,03B,3,flyer,,1.0
2435.215,3420.0,Flyer: Decode P,03D,3,flyer,,1.0
2438.215,3420.0,Flyer: Decode D,03B,3,flyer,,1.0
2456.715,3420.0,Flyer: Decode second I,03B,3,flyer,,1.0
2461.464,3420.0,Flyer: Decode N,03B,3,flyer,,1.0
2469.7129999999997,3420.0,Flyer: Decode R,03E,3,flyer,,1.0
2487.2110000000002,3420.0,Flyer: Decode second E,03B,3,flyer,,1.0
2495.2129999999997,3420.0,Flyer: Decode V,03B,3,flyer,,1.0
2515.4629999999997,3420.0,Have all of the flyer letters*,None,3,flyer,end,0.0
2515.4629999999997,3420.0,Have all of the flyer letters*,None,3,EMPID,start,0.0
2555.965,3420.0,Figure out what EMP ID means,03E,3,EMPID,,1.0
2557.265,3420.0,Figure out what IN REV means,03E,3,EMPID,,1.0
2587.261,3420.0,Notice Employee ID number,03B,3,myspace,end,1.0
2647.015,3420.0,Bring up purple log in page*,None,3,EMPID,end,0.0
2647.015,3420.0,Bring up purple log in page*,None,3,crumpet,start,0.0
2652.265,3420.0,Figure out username,03C,3,crumpet,,1.0
2667.014,3420.0,Figure out password,03B,3,crumpet,,1.0
2679.764,3420.0,Get to maze game*,None,3,crumpet,end,0.0
2679.764,3420.0,Get to maze game*,None,3,maze,start,0.0
