ID,Group,SelfMorality,SelfAbility,SelfSociability,SelfSolvingPuzzles,SelfTeamCollab,Enjoyment,Enjoyment_GroupSpecificity,Difficulty,Difficulty_GroupSpecificity,Difficulty_Mastermind,Enjoyment_Mastermind,TeamCollab_Mastermind,SkillComp_Mastermind,SelfParticipation_Mastermind,PerceivedSolveTime_Mastermind,Difficulty_ColoredLetters,Enjoyment_ColoredLetters,TeamCollab_ColoredLetters,SkillComp_ColoredLetters,SelfParticipation_ColoredLetters,PerceivedSolveTime_ColoredLetters,Difficulty_Cables,Enjoyment_Cables,TeamCollab_Cables,SkillComp_Cables,SelfParticipation_Cables,PerceivedSolveTime_Cables,Difficulty_FlyerCipher,Enjoyment_FlyerCipher,TeamCollab_FlyerCipher,SkillComp_FlyerCipher,SelfParticipation_FlyerCipher,PerceivedSolveTime_FlyerCipher,Difficulty_Myspace,Enjoyment_Myspace,TeamCollab_Myspace,SkillComp_Myspace,SelfParticipation_Myspace,PerceivedSolveTime_Myspace,Difficulty_Maze,Enjoyment_Maze,TeamCollab_Maze,SkillComp_Maze,SelfParticipation_Maze,PerceivedSolveTime_Maze,Teammate,Morality,Ability,Sociability,Like,Closeness,Similar,GoodNews,BadNews,LikeMeta,ClosenessMeta,SimilarMeta,SolvingPuzzles,TeamCollab,Leader,Influence,GameLeader,LeastParticipation,Camaraderie,MostImportant_Mastermind,LeastImportant_Mastermind,MostImportant_ColoredLetters,LeastImportant_ColoredLetters,MostImportant_Cables,LeastImportant_Cables,MostImportant_FlyerCipher,LeastImportant_FlyerCipher,MostImportant_Myspace,LeastImportant_Myspace,MostImportant_Maze,LeastImportant_Maze
03E,3,8.25,7.0,8.75,9,8,10,6,8,5,10,4,10,4,8,,7,7,7,3,8,,5,7,6,3,10,,8,8,9,3,9,,7,8,8,3,9,,7,10,6,2,10,,03D,9.75,8.25,9.25,10,10,7,10,10,10,10,7,6,6,03E,03A,03E,03D,03A,03B,03C,03E,03D,03E,03C,03E,03C,03E,03D,03E,03D
03E,3,8.25,7.0,8.75,9,8,10,6,8,5,10,4,10,4,8,,7,7,7,3,8,,5,7,6,3,10,,8,8,9,3,9,,7,8,8,3,9,,7,10,6,2,10,,03C,9.0,8.75,8.75,10,10,9,10,10,10,10,8,6,6,03E,03A,03E,03D,03A,03B,03C,03E,03D,03E,03C,03E,03C,03E,03D,03E,03D
03E,3,8.25,7.0,8.75,9,8,10,6,8,5,10,4,10,4,8,,7,7,7,3,8,,5,7,6,3,10,,8,8,9,3,9,,7,8,8,3,9,,7,10,6,2,10,,03A,9.0,8.75,9.5,10,10,8,10,8,10,9,8,7,9,03E,03A,03E,03D,03A,03B,03C,03E,03D,03E,03C,03E,03C,03E,03D,03E,03D
03E,3,8.25,7.0,8.75,9,8,10,6,8,5,10,4,10,4,8,,7,7,7,3,8,,5,7,6,3,10,,8,8,9,3,9,,7,8,8,3,9,,7,10,6,2,10,,03B,9.0,8.75,9.0,10,9,8,10,8,9,9,7,8,9,03E,03A,03E,03D,03A,03B,03C,03E,03D,03E,03C,03E,03C,03E,03D,03E,03D
02A,2,9.0,7.0,7.25,8,9,9,7,8,0,6,9,10,1,6,9,3,5,8,1,8,3,4,4,9,1,8,4,10,8,8,2,8,9,6,7,6,2,7,5,10,4,8,3,2,13,02B,8.75,9.0,8.25,10,10,9,10,10,10,10,7,10,9,02B,02B,02C,02D,02A,02E,02D,02E,02D,02C,02D,02A,02D,02E,02D,02E,02D
02A,2,9.0,7.0,7.25,8,9,9,7,8,0,6,9,10,1,6,9,3,5,8,1,8,3,4,4,9,1,8,4,10,8,8,2,8,9,6,7,6,2,7,5,10,4,8,3,2,13,02C,9.75,7.25,9.0,8,7,6,7,7,7,7,5,8,10,02B,02B,02C,02D,02A,02E,02D,02E,02D,02C,02D,02A,02D,02E,02D,02E,02D
02A,2,9.0,7.0,7.25,8,9,9,7,8,0,6,9,10,1,6,9,3,5,8,1,8,3,4,4,9,1,8,4,10,8,8,2,8,9,6,7,6,2,7,5,10,4,8,3,2,13,02D,9.5,5.75,9.0,6,7,3,7,6,7,7,5,4,10,02B,02B,02C,02D,02A,02E,02D,02E,02D,02C,02D,02A,02D,02E,02D,02E,02D
02A,2,9.0,7.0,7.25,8,9,9,7,8,0,6,9,10,1,6,9,3,5,8,1,8,3,4,4,9,1,8,4,10,8,8,2,8,9,6,7,6,2,7,5,10,4,8,3,2,13,02E,8.5,8.0,8.25,6,4,6,5,5,6,5,6,10,10,02B,02B,02C,02D,02A,02E,02D,02E,02D,02C,02D,02A,02D,02E,02D,02E,02D
02C,2,10.0,9.5,9.25,8,10,10,5,8,0,9,6,9,2,7,10,3,8,8,2,8,5,1,7,8,2,9,3,9,7,10,4,9,9,7,7,8,3,8,12,8,8,10,3,9,10,02A,10.0,9.5,9.75,9,8,7,7,7,8,8,7,9,10,02B,02C,02B,02D,02E,02B,02D,02E,02D,02C,02D,02A,02D,02A,02D,02E,02D
02C,2,10.0,9.5,9.25,8,10,10,5,8,0,9,6,9,2,7,10,3,8,8,2,8,5,1,7,8,2,9,3,9,7,10,4,9,9,7,7,8,3,8,12,8,8,10,3,9,10,02B,10.0,10.0,8.75,10,10,7,10,10,10,10,7,10,10,02B,02C,02B,02D,02E,02B,02D,02E,02D,02C,02D,02A,02D,02A,02D,02E,02D
